Time [s],Displacement [m],Force [N]
0.000000,0.0000000000e+00,-2.1741041972e-05
0.050000,4.5012111736e-06,3.2898017144e-05
0.100000,9.5846897293e-06,1.6856575651e-04
0.150000,1.5695302857e-05,3.3642829707e-04
0.200000,1.9717076437e-05,6.4317906161e-04
0.250000,2.5142493602e-05,1.0496766975e-03
0.300000,3.0505063475e-05,1.5106125949e-03
0.350000,3.3776860389e-05,2.0483455089e-03
0.400000,3.8497168552e-05,2.4815131142e-03
0.450000,4.6529549217e-05,3.2847595026e-03
0.500000,4.9474934487e-05,3.5840393998e-03
0.550000,5.4873527454e-05,4.4940492365e-03
0.600000,6.0803771124e-05,5.4319491995e-03
0.650000,6.4619265182e-05,5.8321972584e-03
0.700000,6.9947554388e-05,6.4230437333e-03
0.750000,7.5703217870e-05,7.0544402064e-03
0.800000,7.9365879479e-05,8.6756579088e-03
0.850000,8.6408300344e-05,9.1722563444e-03
0.900000,8.9152087305e-05,1.0578700735e-02
0.950000,9.5845124820e-05,1.2119060905e-02
1.000000,1.0278724448e-04,1.3920077396e-02
1.050000,1.0331480684e-04,1.5834355966e-02
1.100000,1.1160432194e-04,1.5873255316e-02
1.150000,1.1561355120e-04,1.6946180713e-02
1.200000,1.2207400371e-04,1.8225564037e-02
1.250000,1.2434495675e-04,1.9691859130e-02
1.300000,1.3186189458e-04,2.0216045527e-02
1.350000,1.3309664783e-04,2.5011730391e-02
1.400000,1.3948342183e-04,2.2739689675e-02
1.450000,1.4444491866e-04,2.7370746552e-02
1.500000,1.4883111872e-04,2.6504860582e-02
1.550000,1.5388177888e-04,2.9064543859e-02
1.600000,1.5878687924e-04,2.9421845212e-02
1.650000,1.6519945880e-04,3.5215219613e-02
1.700000,1.7003286720e-04,3.5944426458e-02
1.750000,1.7545042160e-04,3.5538824371e-02
1.800000,1.7807660683e-04,4.1440828914e-02
1.850000,1.8463187099e-04,3.9554038383e-02
1.900000,1.9027863740e-04,4.0834334027e-02
1.950000,1.9529296015e-04,4.3125427817e-02
2.000000,2.0106971744e-04,4.9239338557e-02
2.050000,2.0528714647e-04,4.7460989051e-02
2.100000,2.1003781454e-04,4.8608534171e-02
2.150000,2.1612615659e-04,5.3423463916e-02
2.200000,2.2212847297e-04,6.0768081861e-02
2.250000,2.2651357951e-04,6.1896741165e-02
2.300000,2.2832071731e-04,6.1532185508e-02
2.350000,2.3506508470e-04,6.0464292077e-02
2.400000,2.4037645020e-04,6.8133974376e-02
2.450000,2.4531842012e-04,6.4188903465e-02
2.500000,2.4854257006e-04,6.6405571754e-02
2.550000,2.5473982276e-04,7.3509872214e-02
2.600000,2.5944355104e-04,7.8671074026e-02
2.650000,2.6484825109e-04,7.8897026265e-02
2.700000,2.7094737753e-04,7.9649965125e-02
2.750000,2.7637130354e-04,8.0530677843e-02
2.800000,2.8087612450e-04,8.1219727084e-02
2.850000,2.8547056227e-04,8.1799336946e-02
2.900000,2.9112843293e-04,9.4214769098e-02
2.950000,2.9666736564e-04,1.0636463513e-01
3.000000,3.0029330750e-04,9.6314915705e-02
3.050000,3.0333118808e-04,1.0697413747e-01
3.100000,3.1188425104e-04,1.0144345327e-01
3.150000,3.1413409632e-04,1.0306752394e-01
3.200000,3.2012385543e-04,1.1093130978e-01
3.250000,3.2512279141e-04,1.1157560083e-01
3.300000,3.2782596423e-04,1.1473838112e-01
3.350000,3.3461511292e-04,1.1398708287e-01
3.400000,3.3999023221e-04,1.1670134118e-01
3.450000,3.4549034781e-04,1.2007705341e-01
3.500000,3.4978094500e-04,1.1359331979e-01
3.550000,3.5349687278e-04,1.3489309994e-01
3.600000,3.5841898920e-04,1.2455556173e-01
3.650000,3.6540696510e-04,1.3207003557e-01
3.700000,3.6981644353e-04,1.3354506397e-01
3.750000,3.7483540523e-04,1.3874190981e-01
3.800000,3.8171248318e-04,1.5253985127e-01
3.850000,3.8467154336e-04,1.4049436365e-01
3.900000,3.8973488126e-04,1.5102716865e-01
3.950000,3.9294569190e-04,1.4541884020e-01
4.000000,3.9925242754e-04,1.5487719650e-01
4.050000,4.0409218369e-04,1.5672813034e-01
4.100000,4.1018737552e-04,1.6521042392e-01
4.150000,4.1478151158e-04,1.6782172382e-01
4.200000,4.1822578066e-04,1.7677586847e-01
4.250000,4.2559911114e-04,1.7288677236e-01
4.300000,4.3037805844e-04,1.9745302255e-01
4.350000,4.3455473784e-04,1.8226603083e-01
4.400000,4.4108619369e-04,1.8388428997e-01
4.450000,4.4460763088e-04,1.9893072243e-01
4.500000,4.4964367720e-04,2.0133030738e-01
4.550000,4.5587917362e-04,1.9504607771e-01
4.600000,4.6065270470e-04,2.0213891126e-01
4.650000,4.6671964412e-04,2.1006967215e-01
4.700000,4.7025107651e-04,2.2613723080e-01
4.750000,4.7515783123e-04,2.1618605151e-01
4.800000,4.7936121434e-04,2.2298222534e-01
4.850000,4.8524905732e-04,2.3339912606e-01
4.900000,4.9019598304e-04,2.1881256815e-01
4.950000,4.9646855686e-04,2.2084084207e-01
5.000000,4.9925087754e-04,2.1592971730e-01
