Time [s],Displacement [m],Force [N]
0.000000,0.0000000000e+00,8.8826694083e-06
0.050000,4.5491949567e-06,2.7972611003e-02
0.100000,8.1989526856e-06,4.0544581724e-02
0.150000,1.5815594283e-05,5.5241885073e-02
0.200000,2.0036199619e-05,6.8646385476e-02
0.250000,2.3957613416e-05,7.8788926675e-02
0.300000,2.9834647901e-05,9.0191714507e-02
0.350000,3.3831453190e-05,1.0342648585e-01
0.400000,3.9247929797e-05,1.1382567576e-01
0.450000,4.5833969129e-05,1.2720245068e-01
0.500000,5.0119642469e-05,1.3941021548e-01
0.550000,5.6233308185e-05,1.5310923565e-01
0.600000,5.9287235748e-05,1.6533301035e-01
0.650000,6.2051095142e-05,1.8154492487e-01
0.700000,7.0563159738e-05,1.9498796969e-01
0.750000,7.3439714887e-05,2.1232878643e-01
0.800000,8.1523305184e-05,2.2795643078e-01
0.850000,8.5007079119e-05,2.3298597978e-01
0.900000,9.0032482106e-05,2.5177127716e-01
0.950000,9.6207967095e-05,2.7225300849e-01
1.000000,9.8408548510e-05,2.6300850240e-01
1.050000,1.0546834355e-04,2.9894589342e-01
1.100000,1.1041168598e-04,3.0786759561e-01
1.150000,1.1444615227e-04,3.2068981041e-01
1.200000,1.2047997234e-04,3.4832414562e-01
1.250000,1.2573985848e-04,3.5511858922e-01
1.300000,1.2863043981e-04,3.7340776219e-01
1.350000,1.3546029870e-04,3.7515162504e-01
1.400000,1.4063946523e-04,4.0930182374e-01
1.450000,1.4594723641e-04,4.2626846586e-01
1.500000,1.4967319297e-04,4.4530885625e-01
1.550000,1.5513103245e-04,4.6242891079e-01
1.600000,1.5878102232e-04,4.7129075537e-01
1.650000,1.6643797811e-04,4.8271421521e-01
1.700000,1.7129111192e-04,5.2219474448e-01
1.750000,1.7516242787e-04,5.4113425836e-01
1.800000,1.7921014945e-04,5.4640149431e-01
1.850000,1.8659647015e-04,5.6282313026e-01
1.900000,1.8877622481e-04,5.6926507677e-01
1.950000,1.9564311237e-04,5.8848142295e-01
2.000000,2.0077240071e-04,6.1612474623e-01
2.050000,2.0438075525e-04,6.4521225035e-01
2.100000,2.0955140712e-04,6.4792573035e-01
2.150000,2.1424136295e-04,6.7320910405e-01
2.200000,2.1889223533e-04,6.7365572473e-01
2.250000,2.2597486878e-04,7.3087597719e-01
2.300000,2.2978156131e-04,7.1607444721e-01
2.350000,2.3531341630e-04,7.6294228896e-01
2.400000,2.4050829451e-04,7.8195340522e-01
2.450000,2.4524185186e-04,7.9858623814e-01
2.500000,2.4981596207e-04,8.1819806131e-01
2.550000,2.5614500178e-04,8.4002586067e-01
2.600000,2.6025345719e-04,8.5459242411e-01
2.650000,2.6523771668e-04,8.5581459777e-01
2.700000,2.7064754736e-04,8.9467227998e-01
2.750000,2.7454311029e-04,9.5716079356e-01
2.800000,2.8058403335e-04,9.1736969325e-01
2.850000,2.8566605833e-04,9.6016150710e-01
2.900000,2.8930136191e-04,9.8543261232e-01
2.950000,2.9528606679e-04,1.0318820692e+00
3.000000,2.9971424204e-04,1.0177370374e+00
3.050000,3.0326150374e-04,1.0551936098e+00
3.100000,3.0965127566e-04,1.0626486340e+00
3.150000,3.1424384513e-04,1.1152808284e+00
3.200000,3.2141185684e-04,1.1439083533e+00
3.250000,3.2414148643e-04,1.1624618329e+00
3.300000,3.2916312763e-04,1.1986589263e+00
3.350000,3.3523223664e-04,1.2149602449e+00
3.400000,3.3867581016e-04,1.2228675545e+00
3.450000,3.4372221103e-04,1.2332668042e+00
3.500000,3.4948621038e-04,1.2805828535e+00
3.550000,3.5663568607e-04,1.2997168167e+00
3.600000,3.5988794048e-04,1.3142608275e+00
3.650000,3.6464586952e-04,1.3253888918e+00
3.700000,3.7078041580e-04,1.3774973498e+00
3.750000,3.7397092658e-04,1.4099135113e+00
3.800000,3.8151889224e-04,1.4540819956e+00
3.850000,3.8474525646e-04,1.4433868572e+00
3.900000,3.9094550269e-04,1.4732920276e+00
3.950000,3.9354913482e-04,1.5043352433e+00
4.000000,3.9996513159e-04,1.4811663946e+00
4.050000,4.0601420399e-04,1.5604636150e+00
4.100000,4.1150187544e-04,1.5343875891e+00
4.150000,4.1475632171e-04,1.6017682032e+00
4.200000,4.1963552926e-04,1.6001047931e+00
4.250000,4.2525895076e-04,1.5910584596e+00
4.300000,4.2876541233e-04,1.6551408531e+00
4.350000,4.3510269937e-04,1.6814497671e+00
4.400000,4.4021029050e-04,1.7123851961e+00
4.450000,4.4541836298e-04,1.7540292481e+00
4.500000,4.4866953329e-04,1.8070182228e+00
4.550000,4.5452986489e-04,1.8124729197e+00
4.600000,4.6133068106e-04,1.7942650460e+00
4.650000,4.6399473957e-04,1.8683852680e+00
4.700000,4.7282929094e-04,1.8266699175e+00
4.750000,4.7475053368e-04,1.8301469158e+00
4.800000,4.7902039139e-04,1.8417136508e+00
4.850000,4.8429956866e-04,1.9553483401e+00
4.900000,4.8909533496e-04,2.0501876342e+00
4.950000,4.9396199481e-04,2.0523397765e+00
5.000000,4.9910384937e-04,1.9850532929e+00
5.050000,5.0384001129e-04,2.0737820056e+00
5.100000,5.1042775473e-04,2.0631969546e+00
5.150000,5.1523898645e-04,2.1850047573e+00
5.200000,5.2057133660e-04,2.2137962215e+00
5.250000,5.2625747031e-04,2.2294563039e+00
5.300000,5.3046525326e-04,2.2446519092e+00
5.350000,5.3536001936e-04,2.2076350522e+00
5.400000,5.4134637489e-04,2.2862968065e+00
5.450000,5.4615643628e-04,2.3187735464e+00
5.500000,5.4911780751e-04,2.3049230989e+00
5.550000,5.5483408218e-04,2.3814711240e+00
5.600000,5.5907260956e-04,2.3524700754e+00
5.650000,5.6609612906e-04,2.3717981109e+00
5.700000,5.7008547465e-04,2.3957118991e+00
5.750000,5.7504083507e-04,2.5128664504e+00
5.800000,5.7995263522e-04,2.5697865687e+00
5.850000,5.8713939927e-04,2.5786885120e+00
5.900000,5.8791670483e-04,2.5066763514e+00
5.950000,5.9649607457e-04,2.5770930406e+00
6.000000,6.0069626361e-04,2.6178483713e+00
6.050000,6.0546083896e-04,2.6771560164e+00
6.100000,6.1014985259e-04,2.5814790065e+00
6.150000,6.1614440645e-04,2.6556054629e+00
6.200000,6.2048342763e-04,2.7303568529e+00
6.250000,6.2438131875e-04,2.7943273674e+00
6.300000,6.3283983345e-04,2.7949996560e+00
6.350000,6.3348697647e-04,2.9438604621e+00
6.400000,6.3950993327e-04,2.9186524887e+00
6.450000,6.4661281293e-04,2.8755519434e+00
6.500000,6.5037694218e-04,3.0198278626e+00
6.550000,6.5574254141e-04,3.0080397876e+00
6.600000,6.5921089070e-04,2.9549429562e+00
6.650000,6.6388629886e-04,3.0254124536e+00
6.700000,6.6725351597e-04,3.0220637203e+00
6.750000,6.7385348487e-04,3.1474988929e+00
6.800000,6.8113409194e-04,3.2076866242e+00
6.850000,6.8348688710e-04,3.2193337872e+00
6.900000,6.9035438842e-04,3.2004822270e+00
6.950000,6.9420370754e-04,3.3370113852e+00
7.000000,6.9941744270e-04,3.2242194482e+00
7.050000,7.0672159354e-04,3.2790721821e+00
7.100000,7.0818220923e-04,3.3676002235e+00
7.150000,7.1370095889e-04,3.4164067256e+00
7.200000,7.1976505467e-04,3.4902550373e+00
7.250000,7.2553268291e-04,3.3992435485e+00
7.300000,7.2935304125e-04,3.5669023087e+00
7.350000,7.3445671768e-04,3.5970711181e+00
7.400000,7.4013374091e-04,3.4773092721e+00
7.450000,7.4594391046e-04,3.6474991004e+00
7.500000,7.4894953357e-04,3.5982746168e+00
7.550000,7.5441570424e-04,3.7788561439e+00
7.600000,7.6002521396e-04,3.6866015757e+00
7.650000,7.6365116857e-04,3.7840895021e+00
7.700000,7.6979722836e-04,3.7049875945e+00
7.750000,7.7501216162e-04,3.8312017566e+00
7.800000,7.7773640033e-04,3.9365866989e+00
7.850000,7.8508984693e-04,3.8347547163e+00
7.900000,7.9048192429e-04,3.8623501307e+00
7.950000,7.9513948444e-04,3.9407963381e+00
8.000000,7.9915517638e-04,3.9972919179e+00
8.050000,8.0422551991e-04,3.9311537051e+00
8.100000,8.0994697553e-04,4.0184347310e+00
8.150000,8.1544270089e-04,4.0360239535e+00
8.200000,8.1917368622e-04,4.1867239180e+00
8.250000,8.2602832802e-04,4.1277967887e+00
8.300000,8.3058455767e-04,4.2298409826e+00
8.350000,8.3405247719e-04,4.2518926136e+00
8.400000,8.3980978099e-04,4.1909015867e+00
8.450000,8.4496552811e-04,4.2461412503e+00
8.500000,8.4812496382e-04,4.3224579073e+00
8.550000,8.5572301577e-04,4.2957010117e+00
8.600000,8.5842245924e-04,4.4773751645e+00
8.650000,8.6393567253e-04,4.4327261967e+00
8.700000,8.7015026145e-04,4.4665300836e+00
8.750000,8.7395388962e-04,4.4722139144e+00
8.800000,8.7704883024e-04,4.4217739243e+00
8.850000,8.8553352818e-04,4.5836400981e+00
8.900000,8.9137062265e-04,4.3686406615e+00
8.950000,8.9342353163e-04,4.6100598501e+00
9.000000,8.9923260731e-04,4.6052468141e+00
9.050000,9.0523157734e-04,4.6572324338e+00
9.100000,9.0909788444e-04,4.6582451783e+00
9.150000,9.1544425302e-04,4.8787033598e+00
9.200000,9.2106669949e-04,4.9774731312e+00
9.250000,9.2553596938e-04,4.8839485470e+00
9.300000,9.2941713836e-04,4.8634405510e+00
9.350000,9.3602410939e-04,4.8074630257e+00
9.400000,9.4071034774e-04,4.8533598053e+00
9.450000,9.4481817357e-04,4.8973048964e+00
9.500000,9.5083523745e-04,5.0335246612e+00
9.550000,9.5490505026e-04,5.0702550048e+00
9.600000,9.6146357154e-04,5.1377802411e+00
9.650000,9.6683079412e-04,4.9164477443e+00
9.700000,9.6943340509e-04,5.0973110136e+00
9.750000,9.7592331234e-04,5.2698992710e+00
9.800000,9.8065628696e-04,5.2391213710e+00
9.850000,9.8297897088e-04,5.2200710182e+00
9.900000,9.8944110352e-04,5.2273782818e+00
9.950000,9.9471004992e-04,5.2968774947e+00
10.000000,9.9905347657e-04,5.3565315703e+00
10.050000,1.0014235861e-03,5.0590209831e+00
10.100000,1.0001856550e-03,5.0609030266e+00
10.150000,1.0020955526e-03,5.0143450516e+00
10.200000,1.0007532808e-03,5.0741198648e+00
10.250000,1.0010583457e-03,5.2704412295e+00
10.300000,9.9998608740e-04,5.0322137383e+00
10.350000,9.9828844569e-04,5.0922681880e+00
10.400000,1.0008345732e-03,5.1693616991e+00
10.450000,1.0012080422e-03,5.1038892909e+00
10.500000,1.0018019456e-03,5.1123277388e+00
10.550000,1.0010320423e-03,4.9164496685e+00
10.600000,9.9855713811e-04,4.9784263458e+00
10.650000,9.9846246366e-04,5.3032343152e+00
10.700000,1.0009466612e-03,5.0077853651e+00
10.750000,1.0007213550e-03,5.0047425753e+00
10.800000,9.9935451171e-04,4.9967251108e+00
10.850000,1.0002907961e-03,4.9476912704e+00
10.900000,9.9916353911e-04,5.0050595712e+00
10.950000,9.9877914446e-04,4.9746014704e+00
11.000000,9.9827673788e-04,4.9752902651e+00
11.050000,9.9976605738e-04,5.0445087753e+00
11.100000,9.9892714141e-04,4.9919499855e+00
11.150000,1.0000033731e-03,4.8671724528e+00
11.200000,9.9999703847e-04,4.9632789912e+00
11.250000,9.9856978193e-04,5.0548149540e+00
11.300000,9.9825230637e-04,5.0201393508e+00
11.350000,1.0013484542e-03,5.0862571085e+00
11.400000,1.0009296857e-03,5.0625489634e+00
11.450000,9.9843109418e-04,4.9532305515e+00
11.500000,9.9865178607e-04,4.9482187371e+00
11.550000,9.9853255412e-04,5.0583449042e+00
11.600000,1.0000974089e-03,4.8947415942e+00
11.650000,9.9944742896e-04,4.9239960882e+00
11.700000,9.9823030098e-04,5.0948924094e+00
11.750000,1.0006543674e-03,5.0525321379e+00
11.800000,1.0016560030e-03,5.1640177011e+00
11.850000,1.0019968199e-03,5.0293631971e+00
11.900000,1.0010258534e-03,5.2254608100e+00
11.950000,1.0006193996e-03,4.9320849776e+00
12.000000,9.9960319590e-04,5.0429827554e+00
12.050000,1.0013914247e-03,5.1009572583e+00
12.100000,1.0008570898e-03,5.1160220444e+00
12.150000,9.9988898623e-04,5.0962950129e+00
12.200000,9.9860517151e-04,5.0091972990e+00
12.250000,9.9990088532e-04,5.0831659216e+00
12.300000,9.9934686800e-04,5.1280584642e+00
12.350000,1.0001750274e-03,5.2035115082e+00
12.400000,1.0012807417e-03,4.8896849517e+00
12.450000,1.0007367319e-03,4.9535204217e+00
12.500000,1.0002265751e-03,5.0707104008e+00
12.550000,9.9882775272e-04,4.9800731981e+00
12.600000,1.0008146100e-03,4.9897444330e+00
12.650000,1.0015853092e-03,5.0391240550e+00
12.700000,9.9880748904e-04,4.9563523074e+00
12.750000,1.0006376932e-03,5.0646513821e+00
12.800000,1.0001067169e-03,4.9136608476e+00
12.850000,1.0000264509e-03,4.9433856373e+00
12.900000,9.9996176299e-04,5.1775485957e+00
12.950000,1.0014456813e-03,4.9614425922e+00
13.000000,1.0009208461e-03,5.2279624094e+00
13.050000,9.9784368278e-04,4.9897933635e+00
13.100000,1.0016885207e-03,5.1298563955e+00
13.150000,1.0013561615e-03,5.0859575768e+00
13.200000,9.9875822606e-04,5.0421164705e+00
13.250000,9.9980506569e-04,4.9804632735e+00
13.300000,9.9889673330e-04,5.0709375561e+00
13.350000,9.9827963827e-04,4.9639705650e+00
13.400000,1.0002918120e-03,5.0838748971e+00
13.450000,9.9935751405e-04,5.1947649744e+00
13.500000,9.9984069001e-04,4.9499481168e+00
13.550000,1.0014368780e-03,4.8937100972e+00
13.600000,9.9855704517e-04,4.9101537946e+00
13.650000,1.0018498628e-03,4.9891787422e+00
13.700000,1.0008310424e-03,5.1561011088e+00
13.750000,1.0003431319e-03,5.0893540518e+00
13.800000,1.0014038332e-03,5.0966405227e+00
